ip,port
23.214.152.95,443
23.63.92.245,443
23.10.252.26,80
157.56.114.105,80
23.62.237.95,80
184.169.160.159,80
90.84.55.224,80
91.190.216.77,443
23.63.69.177,443
193.149.47.98,443
63.215.202.65,443
173.241.240.220,443
198.47.127.15,443
91.190.216.41,443
134.170.185.126,443
91.190.216.33,443
46.19.8.17,80
98.139.134.174,80
192.150.16.219,80
54.164.94.139,80
69.90.160.95,80
137.158.154.11,80
130.132.21.179,80
171.66.237.75,80
147.251.128.210,80
107.20.247.146,80
128.2.217.13,80
195.224.71.221,80
91.185.206.139,80
91.185.193.64,80
199.96.57.6,80
8.8.4.4,53
89.143.247.35,80
91.223.182.33,80
85.135.32.49,0
83.240.57.14,0
37.146.232.152,0
67.210.114.55,80
31.171.237.45,0
74.125.136.127,443
193.77.148.62,0
62.245.100.12,0
79.157.33.11,0
81.159.19.207,0
95.46.216.128,0
85.13.86.105,0
93.171.107.163,0
95.46.87.20,0
46.175.168.127,0
31.43.245.103,0
91.214.87.125,0
91.185.105.20,0
41.141.20.197,0
95.46.75.120,0
2.4.6.172,0
66.232.112.72,80
104.16.12.8,80
173.241.240.221,80
104.16.23.35,80
23.62.237.96,80
185.31.18.239,80
104.16.16.35,80
212.23.8.80,80
23.62.237.88,80
93.184.220.20,80
54.231.128.204,80
151.249.88.72,80
54.231.16.80,80
23.214.143.96,80
54.240.166.129,80
87.248.221.253,80
23.214.137.113,80
192.229.233.37,80
54.230.2.133,80
23.214.140.240,80
216.58.210.130,80
185.31.19.130,80
23.214.133.135,80
185.31.18.65,80
54.240.166.161,80
23.212.108.110,80
54.240.166.86,80
23.63.65.234,80
23.212.108.102,80
185.31.19.134,80
205.185.216.10,80
185.31.19.249,80
185.31.18.175,80
54.231.9.188,80
107.23.57.65,80
23.212.108.152,80
46.51.204.29,80
87.248.221.254,80
185.31.19.239,80
107.21.16.231,80
199.27.79.130,80
93.184.220.101,80
185.31.19.196,80
54.88.141.155,80
185.31.18.249,80
212.58.244.27,80
23.212.108.86,80
212.58.244.71,80
23.214.152.176,80
23.212.108.137,80
23.212.108.105,80
159.8.37.102,443
66.117.28.68,443
23.212.108.145,80
23.63.71.14,80
23.212.108.176,80
23.214.132.245,80
104.156.81.134,80
80.239.137.138,80
54.77.133.71,80
185.31.18.134,80
176.32.98.166,80
54.240.166.130,80
54.239.18.49,80
54.239.18.49,443
205.251.242.54,80
23.62.237.89,80
176.32.100.5,443
212.58.244.70,80
212.58.244.76,80
23.212.108.215,80
54.240.166.76,80
54.240.166.83,80
54.240.166.194,80
54.240.166.75,80
83.145.109.178,80
176.32.103.205,80
54.240.166.46,80
23.62.237.94,80
23.214.69.157,80
178.132.240.28,80
204.79.197.200,80
217.12.1.156,443
77.238.185.35,443
62.67.193.45,443
178.79.214.0,80
185.65.143.252,80
31.186.225.23,80
152.115.75.219,80
23.235.33.134,80
185.31.19.64,80
87.98.141.76,80
23.214.140.11,80
178.33.105.90,80
185.44.142.4,80
178.250.0.77,80
107.21.202.67,80
216.58.210.134,443
216.58.210.130,443
62.210.93.85,80
2.18.240.51,443
23.62.237.87,80
212.113.89.75,80
192.73.240.46,80
151.249.88.207,80
107.21.200.223,80
151.249.88.159,80
2.22.213.235,80
195.7.33.37,80
149.126.77.216,80
149.126.77.148,80
91.200.51.107,80
85.17.192.208,80
85.17.192.210,80
188.165.192.12,80
192.237.225.117,80
205.185.208.80,80
23.214.146.215,80
23.214.131.137,80
217.112.147.57,80
195.47.237.139,80
93.184.220.127,443
216.228.236.92,80
95.101.15.10,80
23.212.109.145,80
192.0.80.241,80
162.13.132.240,80
54.240.166.233,80
162.159.248.55,80
54.240.166.103,80
185.29.134.87,80
23.214.139.241,80
185.3.95.84,80
54.240.166.185,80
23.214.118.53,80
152.163.66.132,80
216.58.210.134,80
185.31.18.192,80
95.100.220.85,80
52.6.33.237,80
52.0.102.198,80
52.8.57.46,80
69.172.216.55,80
23.214.152.100,80
37.58.114.77,80
54.88.85.51,80
52.8.89.48,80
69.16.175.42,80
23.214.152.89,80
107.21.21.230,80
52.8.210.52,80
52.8.204.112,80
185.29.133.34,80
54.210.241.228,80
37.58.114.76,80
54.174.208.187,80
52.1.229.116,80
111.221.77.144,443
185.31.19.67,80
185.31.18.67,80
185.31.19.175,80
23.193.41.138,80
104.16.13.8,80
68.67.152.80,80
68.67.152.232,80
31.24.80.87,80
23.35.97.152,80
23.193.40.204,80
23.212.108.191,80
170.149.168.130,443
170.149.168.130,80
23.21.136.35,80
208.71.121.1,443
54.240.166.149,80
146.185.23.162,80
23.21.208.106,80
103.245.222.249,80
54.235.167.252,80
23.212.108.193,80
103.245.222.175,80
23.212.108.128,80
212.58.246.55,80
23.212.108.207,80
212.58.246.90,80
72.21.211.10,80
54.240.166.78,80
72.21.211.12,443
80.89.125.30,80
91.226.182.122,80
23.212.108.111,80
23.37.244.174,80
23.63.72.71,80
184.106.2.94,80
172.227.149.91,80
95.100.220.168,80
