1,2,3,4,5,6,7,8,9,10
07/25-17:56:59.365267, 170, TCP, stream_tcp, 79, S2C, 23.214.152.95:443, 10.0.0.45:49166, 1:40186:3, allow
07/25-17:57:02.409410, 199, TCP, stream_tcp, 79, S2C, 23.214.152.95:443, 10.0.0.45:49167, 1:40186:3, allow
07/25-17:59:00.775505, 358, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-17:59:00.775526, 359, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-17:59:01.235565, 362, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-17:59:01.235599, 363, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-17:59:03.777090, 364, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-17:59:03.777134, 365, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-17:59:04.238634, 368, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-17:59:04.238666, 369, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-17:59:06.780010, 371, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-17:59:06.780038, 372, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-17:59:07.240119, 373, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-17:59:07.240154, 374, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-17:59:13.526645, 375, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-17:59:13.526670, 376, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-17:59:16.523905, 377, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-17:59:16.523931, 378, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-17:59:19.528316, 379, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-17:59:19.528341, 380, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-17:59:22.552818, 381, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-17:59:22.552842, 382, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-17:59:25.557023, 383, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-17:59:25.557064, 384, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-17:59:28.561365, 388, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-17:59:28.561404, 389, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-18:00:12.853633, 399, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-18:00:12.853664, 400, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-18:00:15.859174, 401, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-18:00:15.859212, 402, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-18:00:18.863039, 403, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-18:00:18.863077, 404, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-18:00:21.886582, 408, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-18:00:21.886616, 409, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-18:00:24.891921, 426, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-18:00:24.891948, 427, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-18:00:27.896500, 457, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-18:00:27.896530, 458, UDP, raw, 161, C2S, 10.0.0.45:63243, 239.255.255.250:1900, 1:1917:16, allow
07/25-18:03:45.860451, 536, TCP, stream_tcp, 85, S2C, 23.63.92.245:443, 10.0.0.45:49180, 1:37025:6, allow
07/25-18:04:29.700881, 1455, TCP, stream_tcp, 33, C2S, 10.0.0.45:49237, 192.150.19.174:443, 1:38060:4, allow
07/25-18:04:31.309958, 1502, TCP, stream_tcp, 33, C2S, 10.0.0.45:49241, 192.150.19.174:443, 1:38060:4, allow
07/25-18:05:11.056698, 18587, TCP, stream_tcp, 16342, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:16.775550, 23930, TCP, stream_tcp, 16343, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:19.972173, 26888, TCP, stream_tcp, 16360, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:21.215527, 27946, TCP, stream_tcp, 16413, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:21.262388, 28014, TCP, stream_tcp, 16402, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:56912:1, allow
07/25-18:05:21.286174, 28046, TCP, stream_tcp, 16377, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:25061:8, allow
07/25-18:05:21.286174, 28046, TCP, stream_tcp, 16377, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:21.286174, 28046, TCP, stream_tcp, 16377, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:38124:4, allow
07/25-18:05:21.294494, 28059, TCP, stream_tcp, 16366, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
07/25-18:05:21.467043, 28319, TCP, stream_tcp, 16340, S2C, 23.10.252.26:80, 10.0.0.45:49256, 1:15306:22, allow
