ip,port
192.168.50.1,46107
112.32.57.75,0
115.219.56.106,0
114.95.214.20,0
114.27.131.96,0
105.105.48.49,48380
95.223.231.156,59010
14.35.167.162,33117
80.248.64.198,0
102.222.198.17,0
112.203.201.9,0
124.120.192.198,0
134.65.233.40,0
110.137.156.39,0
46.219.211.227,43848
192.168.202.79,50465
192.168.229.254,443
192.168.202.79,50467
192.168.202.79,50469
192.168.202.79,50471
192.168.202.79,50473
192.168.27.25,0
192.168.202.79,50475
192.168.202.79,50477
192.168.202.79,50479
192.168.202.79,50481
192.168.202.79,50483
192.168.202.79,50485
192.168.202.79,50487
192.168.202.79,50489
192.168.202.79,50491
192.168.202.79,50493
192.168.202.79,50495
192.168.202.79,50497
192.168.202.79,50499
192.168.202.79,50501
192.168.202.79,50503
192.168.202.79,50504
192.168.202.79,50506
192.168.202.79,50508
192.168.27.103,0
192.168.202.79,50510
192.168.202.79,50512
192.168.202.79,50514
192.168.202.79,50516
192.168.202.79,50518
192.168.202.79,50520
192.168.202.79,50522
192.168.202.79,50524
192.168.202.79,50526
192.168.202.79,50528
192.168.202.79,50530
192.168.202.79,50532
192.168.202.79,50533
192.168.202.79,50535
192.168.202.79,50537
192.168.202.79,50539
192.168.202.79,50541
192.168.202.1,0
192.168.202.79,50543
192.168.202.79,50545
192.168.202.79,50547
192.168.27.152,0
192.168.202.79,50549
192.168.202.79,50551
192.168.202.79,50553
192.168.202.79,50555
192.168.202.79,50557
192.168.202.79,50559
192.168.27.102,0
192.168.202.79,50561
192.168.202.79,50563
192.168.27.203,0
192.168.202.79,50565
192.168.202.79,50567
192.168.202.79,50569
192.168.202.79,50571
192.168.27.101,0
192.168.202.79,50573
192.168.202.79,50575
192.168.202.79,50577
192.168.27.202,0
192.168.202.79,50579
192.168.202.79,50581
192.168.202.79,50583
192.168.202.79,50585
192.168.202.79,50587
192.168.202.79,50589
192.168.202.79,50591
192.168.202.79,50593
192.168.202.79,50595
192.168.202.79,50597
192.168.202.79,50599
192.168.202.79,50601
192.168.27.253,0
192.168.202.79,50603
192.168.202.79,46257
192.168.202.79,50605
192.168.202.79,50607
192.168.202.79,50609
192.168.202.79,50611
192.168.202.79,50613
192.168.202.79,50615
192.168.202.79,50617
192.168.202.79,50619
192.168.202.79,50621
192.168.202.79,50623
192.168.202.79,50624
192.168.202.79,50626
192.168.202.79,50628
192.168.202.79,50630
192.168.202.79,50632
192.168.202.79,50634
192.168.202.79,50636
192.168.202.79,50638
192.168.202.79,50640
192.168.202.79,50642
192.168.202.79,50644
192.168.202.79,50646
192.168.202.79,50648
192.168.202.79,50650
192.168.202.79,50652
192.168.202.79,50654
192.168.202.79,50656
192.168.202.79,50658
192.168.202.79,50660
192.168.202.79,50662
192.168.202.79,50664
192.168.202.79,50666
192.168.202.79,50668
192.168.202.79,50670
192.168.202.79,50672
192.168.202.79,50674
192.168.202.79,50676
192.168.202.79,50677
192.168.202.79,50679
192.168.202.79,50681
192.168.202.79,50683
192.168.202.79,50685
192.168.202.79,50687
192.168.202.79,50689
192.168.202.79,50691
192.168.202.79,50693
192.168.202.79,46347
192.168.202.79,50695
192.168.202.79,50697
192.168.202.79,50699
192.168.202.79,50701
192.168.202.79,50703
192.168.202.79,50705
192.168.202.79,50707
192.168.202.79,50709
192.168.202.79,50711
192.168.202.79,50713
192.168.202.79,50715
192.168.202.79,50717
192.168.202.79,50719
192.168.202.79,50721
192.168.202.79,50723
192.168.202.79,50725
192.168.202.79,50727
192.168.202.79,50729
192.168.202.79,50731
192.168.202.79,50733
192.168.202.79,50734
192.168.202.79,50736
192.168.202.79,50738
192.168.202.79,50740
192.168.202.79,50742
192.168.202.79,50744
192.168.202.79,50746
192.168.229.251,80
192.168.202.79,50748
192.168.202.79,50750
192.168.202.79,50751
192.168.202.79,50753
192.168.202.79,50755
192.168.202.79,50757
192.168.202.79,50759
192.168.202.79,50761
192.168.202.79,50762
192.168.202.79,50764
192.168.202.79,50766
192.168.202.79,50770
192.168.202.79,50772
192.168.202.79,50774
192.168.202.79,50776
192.168.202.79,50778
192.168.202.79,50780
192.168.202.79,50782
192.168.202.79,50784
192.168.202.79,50786
192.168.202.79,50788
192.168.202.79,50790
192.168.202.79,50791
192.168.202.79,50793
192.168.202.79,50795
192.168.202.79,50797
192.168.202.79,50798
192.168.202.79,50800
192.168.202.79,50802
192.168.202.79,50804
192.168.202.79,50805
192.168.202.79,50807
192.168.202.79,50809
192.168.202.79,50811
192.168.202.79,50812
192.168.202.79,50814
192.168.202.79,50816
192.168.202.79,50818
192.168.202.79,50819
192.168.202.79,50821
192.168.202.79,50823
192.168.202.79,50825
192.168.202.79,50827
192.168.202.79,50828
192.168.202.79,50830
192.168.202.79,50832
192.168.202.79,50834
192.168.202.79,50836
192.168.202.79,50838
192.168.202.79,50840
192.168.202.79,50842
192.168.202.79,50844
192.168.202.79,50846
192.168.202.79,50847
192.168.229.153,445
192.168.202.100,0
192.168.202.89,58332
192.168.202.79,44560
192.168.202.79,59930
192.168.202.79,59931
192.168.202.79,44564
192.168.202.79,59934
192.168.202.79,59936
192.168.202.79,44569
192.168.202.79,44570
192.168.202.79,44573
192.168.202.79,44574
192.168.202.79,37148
192.168.202.79,44577
192.168.202.79,34494
192.168.202.79,57593
192.168.229.251,445
192.168.229.252,445
192.168.202.79,44586
192.168.202.79,37162
192.168.202.79,44591
192.168.202.79,50979
192.168.202.79,37164
192.168.202.79,59962
192.168.202.79,37167
192.168.202.79,59966
192.168.202.79,37170
192.168.202.79,37172
192.168.202.79,45505
192.168.202.79,37174
192.168.202.79,37181
192.168.202.79,37184
192.168.202.79,37185
192.168.202.79,59985
192.168.202.79,44618
192.168.202.79,59988
192.168.202.79,59995
192.168.202.79,44628
192.168.202.79,59998
192.168.202.79,37206
192.168.202.79,60005
192.168.202.79,44638
192.168.202.79,44639
192.168.202.79,44641
192.168.202.79,37214
192.168.202.79,44649
192.168.202.79,60021
192.168.202.79,36000
192.168.202.79,37228
192.168.202.79,37231
192.168.202.79,37236
192.168.202.79,60035
192.168.202.79,44668
192.168.202.79,60039
192.168.202.79,60045
192.168.202.79,37249
192.168.202.79,60050
192.168.202.79,44685
192.168.202.79,60059
192.168.202.79,37266
192.168.202.79,60067
192.168.202.79,44700
192.168.202.79,37278
192.168.202.79,44711
192.168.202.79,60082
192.168.202.79,37288
192.168.202.79,60087
192.168.202.79,44720
192.168.202.79,37296
192.168.202.79,44727
192.168.202.79,60098
192.168.202.79,37304
192.168.202.79,60103
192.168.202.79,44737
192.168.202.79,37311
192.168.202.79,44743
192.168.202.79,60114
192.168.202.79,37320
192.168.202.79,60119
192.168.202.79,44753
192.168.202.79,37327
192.168.202.79,44759
192.168.202.79,60130
192.168.202.79,37336
192.168.202.79,60135
192.168.202.79,44768
192.168.202.79,37343
192.168.202.79,44775
192.168.202.79,60146
192.168.202.79,37352
192.168.202.79,60151
192.168.202.79,44784
192.168.202.79,37360
192.168.202.79,44791
192.168.202.79,60162
192.168.202.79,37368
192.168.202.79,60167
192.168.202.79,44800
192.168.202.79,37375
192.168.202.79,44807
192.168.202.79,60178
192.168.202.79,37384
192.168.202.79,44815
192.168.202.79,60186
192.168.202.79,37391
192.168.202.79,44823
192.168.202.79,60194
192.168.202.79,44829
192.168.202.79,37402
192.168.202.79,60202
192.168.202.79,37407
192.168.202.79,60209
192.168.202.79,44841
192.168.202.79,44843
192.168.202.79,37418
192.168.202.79,60218
192.168.202.79,37424
192.168.202.79,60223
192.168.202.79,44857
192.168.202.79,44859
192.168.202.79,37434
192.168.202.79,60234
192.168.202.79,37440
192.168.202.79,60239
192.168.202.79,44873
192.168.202.79,44875
192.168.202.79,37450
192.168.202.79,60250
192.168.202.79,37456
192.168.202.79,60255
192.168.202.79,44889
192.168.202.79,44891
192.168.202.79,37466
192.168.202.79,60266
192.168.202.79,37471
192.168.202.79,60271
192.168.202.79,44905
192.168.202.79,44907
192.168.202.79,37482
192.168.202.79,60282
192.168.202.79,37487
192.168.202.79,60287
192.168.202.79,44921
192.168.202.79,44923
192.168.202.79,37498
192.168.202.79,60298
192.168.202.79,37503
192.168.202.79,60303
192.168.202.79,44937
192.168.202.79,44939
192.168.202.79,37514
192.168.202.79,60314
192.168.202.79,37519
192.168.202.79,60319
192.168.202.79,44953
192.168.202.79,44955
192.168.202.79,37530
192.168.202.79,60330
192.168.202.79,37535
192.168.202.79,60335
192.168.202.79,44969
192.168.202.79,44971
192.168.202.79,37546
192.168.202.79,60347
192.168.202.79,37552
192.168.202.79,60351
192.168.202.79,44985
192.168.202.79,44987
192.168.202.79,37564
192.168.202.79,60362
192.168.202.79,37567
192.168.202.79,60367
192.168.202.79,45002
192.168.202.79,45004
192.168.202.79,37578
192.168.202.79,60378
192.168.202.79,37584
192.168.202.79,60383
192.168.202.79,45016
192.168.202.79,45020
192.168.202.79,37594
192.168.202.79,60394
192.168.202.79,37599
192.168.202.79,60399
192.168.202.79,45032
192.168.202.79,45036
192.168.202.79,37610
192.168.202.79,60410
192.168.202.79,37615
192.168.202.79,60415
192.168.202.79,45048
192.168.202.79,45052
192.168.202.79,37626
192.168.202.79,60426
192.168.202.79,37631
192.168.202.79,60431
192.168.202.79,45064
192.168.202.79,45068
192.168.202.79,37642
192.168.202.79,60442
192.168.202.79,37647
192.168.202.79,60447
192.168.202.79,45080
192.168.202.79,45084
192.168.202.79,37658
192.168.202.79,60458
192.168.202.79,37663
192.168.202.79,60463
192.168.202.79,45097
192.168.202.79,45100
192.168.202.79,37674
192.168.202.79,60474
192.168.202.79,37679
192.168.202.79,60479
192.168.202.79,45112
192.168.202.79,45116
192.168.202.79,37690
192.168.202.79,60490
192.168.202.79,37695
192.168.202.79,60495
192.168.202.79,45129
192.168.202.79,45132
192.168.202.79,37706
192.168.202.79,60506
192.168.202.79,37712
192.168.202.79,60511
192.168.202.79,45145
192.168.202.79,45148
192.168.202.79,37722
192.168.202.79,60522
192.168.202.79,37728
192.168.202.79,60527
192.168.202.79,45161
192.168.202.79,45164
192.168.202.79,37738
192.168.202.79,60538
192.168.202.79,37744
192.168.202.79,60543
192.168.202.79,45176
192.168.202.79,45180
192.168.202.79,37754
192.168.202.79,60554
192.168.202.79,37759
192.168.202.79,60559
192.168.202.79,45192
192.168.202.79,45196
192.168.202.79,37770
192.168.202.79,60570
192.168.202.79,37775
192.168.202.79,60575
192.168.202.79,45208
192.168.202.79,45212
192.168.202.79,37786
192.168.202.79,60586
192.168.202.79,37791
192.168.202.79,60591
192.168.202.79,45225
192.168.202.79,45228
192.168.202.79,37802
192.168.202.79,60602
192.168.202.79,37807
192.168.202.79,60607
192.168.202.79,45240
192.168.202.79,45244
192.168.202.79,37818
192.168.202.79,60618
192.168.202.79,37823
192.168.202.79,60623
192.168.202.79,45256
192.168.202.79,45260
192.168.202.79,37834
192.168.202.79,60634
192.168.202.79,37839
192.168.202.79,60639
192.168.202.79,45272
192.168.202.79,45276
192.168.202.79,37850
192.168.202.79,60650
192.168.202.79,37855
192.168.202.79,60655
192.168.202.79,45289
192.168.202.79,45292
192.168.202.79,37866
192.168.202.79,60666
192.168.202.79,37872
192.168.202.79,60671
192.168.202.79,45304
192.168.202.79,45308
192.168.202.79,37882
192.168.202.79,60682
192.168.202.79,37887
192.168.202.79,60687
192.168.202.79,45320
192.168.202.79,45324
192.168.202.79,37898
192.168.202.79,60698
192.168.202.79,37903
192.168.202.79,60703
192.168.202.79,45336
192.168.202.79,45340
192.168.202.79,37914
192.168.202.79,60714
192.168.202.79,37920
192.168.202.79,60719
192.168.202.79,45352
192.168.202.79,45356
192.168.202.79,37930
192.168.202.79,60730
192.168.202.79,37935
192.168.202.79,60735
192.168.202.79,45368
192.168.202.79,45372
192.168.202.79,37946
192.168.202.79,60746
192.168.202.79,37951
192.168.202.79,60751
192.168.202.79,45384
192.168.202.79,45388
192.168.202.79,37962
192.168.202.79,60762
192.168.202.79,37967
192.168.202.79,60767
192.168.202.79,45400
192.168.202.79,45404
192.168.202.79,37978
192.168.202.79,60778
192.168.202.79,37984
192.168.202.79,60783
192.168.202.79,45417
192.168.202.79,45420
192.168.202.79,37994
192.168.202.79,60794
192.168.202.79,37999
192.168.202.79,60799
192.168.202.79,45432
192.168.202.79,45436
192.168.202.79,38010
192.168.202.79,60810
192.168.202.79,38016
192.168.202.79,60815
192.168.202.79,45448
192.168.202.79,45452
192.168.202.79,38026
192.168.202.79,60827
192.168.202.79,38031
192.168.202.79,60831
192.168.202.79,45465
192.168.202.79,45468
192.168.202.79,38043
192.168.202.79,60843
192.168.202.79,38047
192.168.202.79,60847
192.168.202.79,45481
192.168.202.79,45485
192.168.202.79,38059
192.168.202.79,38062
192.168.202.79,60860
192.168.202.79,60863
192.168.202.79,45497
192.168.202.79,45501
192.168.202.79,38076
192.168.202.79,38077
192.168.202.79,60878
192.168.202.79,60879
192.168.202.79,45513
192.168.202.79,38089
192.168.202.79,45518
192.168.202.79,38094
192.168.202.79,60894
192.168.202.79,60895
192.168.202.79,45529
192.168.202.79,38103
192.168.202.79,45536
192.168.202.79,60907
192.168.202.79,38111
192.168.202.79,60911
192.168.202.79,45544
192.168.202.79,38119
192.168.202.79,60921
192.168.202.79,45553
