ip,port
151.101.113.175,80
151.249.89.68,80
104.83.108.67,80
151.249.89.223,80
62.67.193.41,443
149.126.77.9,80
52.85.173.125,80
52.216.226.27,80
54.231.49.32,80
104.16.204.250,80
54.84.174.67,80
104.83.99.154,80
62.138.238.59,80
62.138.238.100,80
107.154.114.146,80
104.20.20.239,80
89.163.159.104,80
104.83.99.152,80
199.96.57.6,80
62.138.238.103,80
172.217.18.168,80
185.33.220.197,80
62.138.239.100,80
46.228.164.11,443
95.101.72.17,80
178.250.2.74,80
178.250.0.77,80
213.186.33.17,80
131.111.150.25,80
54.231.97.208,80
104.98.164.85,80
104.83.100.24,80
68.232.35.180,80
72.163.4.70,443
96.47.69.67,80
54.153.2.59,80
95.101.72.65,80
52.85.172.175,80
52.85.172.130,80
78.41.128.140,80
217.146.190.232,80
104.16.17.35,80
172.217.18.174,80
95.101.72.34,80
72.247.178.91,80
128.2.42.52,80
93.184.220.66,80
93.184.220.113,80
104.83.86.191,80
173.241.240.212,80
195.110.101.177,80
62.67.193.33,443
61.183.12.59,80
198.47.127.15,443
61.183.12.60,80
115.153.176.133,80
211.88.112.61,80
220.170.187.12,80
60.28.251.161,80
210.76.61.96,80
62.67.193.97,443
173.241.240.199,443
42.48.109.219,80
159.253.147.8,80
72.247.178.65,80
67.220.103.116,80
176.34.124.148,80
2.19.240.251,80
74.119.118.84,80
52.85.173.225,80
172.217.17.46,80
172.217.18.163,80
182.22.31.124,80
2.22.101.147,80
72.247.178.114,80
72.247.178.89,80
172.217.23.232,80
182.22.24.252,80
2.21.77.25,80
151.101.114.2,80
54.192.44.154,80
62.67.193.61,443
68.232.35.28,80
62.67.193.96,80
128.140.171.72,443
104.124.124.26,80
172.217.18.166,80
62.67.193.61,80
172.217.18.170,80
94.100.191.143,443
172.217.16.162,80
88.212.201.193,443
95.101.72.224,80
52.85.173.44,80
192.229.133.9,80
208.109.4.32,80
185.172.148.128,80
54.230.47.232,80
104.124.125.137,80
104.83.84.158,80
172.217.18.10,80
72.247.178.8,80
172.217.22.72,80
172.217.22.70,80
65.156.1.60,80
193.0.160.207,443
72.247.178.43,80
104.16.32.52,80
200.147.68.8,80
72.247.178.41,80
35.156.59.3,80
104.83.97.8,80
95.101.72.202,80
104.83.100.139,80
104.124.112.34,80
52.28.33.248,80
2.19.243.211,80
88.212.196.124,443
192.124.249.157,80
104.83.101.239,80
104.83.101.51,80
192.0.79.33,80
54.192.44.149,80
173.241.240.220,80
192.0.77.2,80
54.192.45.208,80
192.30.31.23,80
2.22.109.137,80
52.85.173.135,80
192.30.31.61,80
151.101.112.175,80
52.85.173.199,80
52.85.173.203,80
52.85.173.226,80
107.23.64.179,80
52.85.173.60,80
63.215.202.65,443
205.251.72.172,80
192.0.73.2,80
63.215.202.75,443
52.85.173.17,80
198.47.127.27,443
2.22.100.205,80
62.67.193.91,443
104.16.22.35,80
151.101.65.69,80
104.16.112.18,80
104.17.30.15,80
54.183.158.83,80
54.192.44.129,80
52.85.173.111,80
193.43.36.90,80
151.101.0.230,80
95.101.72.36,80
104.83.100.155,80
151.101.112.230,80
107.178.242.164,80
70.42.185.11,80
72.247.178.34,80
72.247.178.50,80
151.101.113.67,80
104.98.171.158,80
54.192.44.81,80
95.101.72.11,80
62.67.193.97,80
104.83.106.41,80
54.230.45.87,80
52.85.173.150,80
77.87.229.48,80
77.87.229.108,80
88.212.202.35,80
88.212.196.73,80
87.250.247.184,80
217.69.133.145,443
213.180.204.92,80
68.232.35.187,80
130.211.36.116,80
104.16.6.159,80
54.183.144.195,80
94.31.29.128,80
106.48.12.34,80
106.48.12.36,80
103.25.21.68,80
203.130.61.92,80
60.28.207.67,80
54.222.130.83,80
166.78.139.188,80
140.206.160.230,80
203.205.158.37,80
216.92.234.46,80
178.62.139.89,80
216.58.214.34,80
104.124.115.31,80
104.98.163.18,80
72.247.178.97,80
101.227.188.176,80
186.192.91.5,80
186.192.82.60,80
186.192.90.3,80
186.192.91.9,80
186.192.81.167,80
131.0.25.249,80
186.192.81.21,80
72.247.178.59,80
186.192.81.5,80
194.20.240.84,80
210.160.193.168,443
104.98.160.228,80
104.83.106.179,80
95.101.72.75,80
110.86.5.90,80
63.215.202.68,443
104.109.64.237,80
52.85.173.82,80
216.27.62.241,80
104.16.83.55,80
63.215.202.67,443
104.98.168.115,80
54.192.44.75,80
104.124.113.163,80
2.19.242.103,80
151.249.89.15,80
172.217.22.83,80
104.16.124.228,80
69.172.200.241,80
185.172.148.132,80
192.33.31.70,80
72.247.178.19,80
104.83.100.56,80
2.22.109.92,80
104.83.83.190,80
54.192.44.113,80
104.16.18.35,80
2.22.14.199,80
94.31.29.250,80
23.56.3.183,80
54.217.235.190,80
54.230.44.190,80
34.196.221.164,443
54.230.47.58,80
109.228.36.175,80
93.184.221.48,80
31.15.10.49,80
136.243.6.169,443
141.8.224.25,80
95.163.105.158,443
2.19.241.130,80
198.239.146.53,80
182.108.171.71,80
195.27.31.235,80
116.211.251.251,80
119.146.74.34,80
106.122.254.79,80
198.105.130.90,80
198.105.130.18,80
54.230.45.218,80
193.63.75.100,80
144.76.70.77,80
81.7.11.83,80
185.66.195.245,80
192.229.133.187,80
106.48.12.35,80
106.48.12.44,80
61.244.111.116,80
125.90.58.138,80
195.27.31.236,80
95.211.80.227,80
221.204.60.44,80
113.200.98.141,80
121.12.97.26,80
82.199.68.73,443
150.138.141.6,80
150.138.141.14,80
104.123.232.112,80
216.58.214.232,80
183.79.248.124,80
23.38.82.156,80
172.217.23.238,80
124.33.183.219,80
216.58.214.227,80
2.21.74.73,80
89.30.102.68,80
89.30.102.108,80
52.222.175.206,80
185.33.223.80,80
203.130.60.252,80
216.58.214.194,80
69.172.216.55,80
52.222.171.159,80
52.222.171.183,80
52.19.200.122,80
